Clave De AGEE ,Nombre De AGEE ,Nombre Abreviado De AGEE,Pob_Total,Total De Viviendas Habitadas,Pob_Masculina,Pob_Femenina
"01","Aguascalientes","Ags.","1184996","290877","576638","608358"
"02","Baja California","BC","3155070","870769","1591610","1563460"
"03","Baja California Sur","BCS","637026","178271","325433","311593"
"04","Campeche","Camp.","822441","213727","407721","414720"
"05","Coahuila de Zaragoza","Coah.","2748391","727613","1364197","1384194"
"06","Colima","Col.","650555","180488","322790","327765"
"07","Chiapas","Chis.","4796580","1091100","2352807","2443773"
"08","Chihuahua","Chih.","3406465","944681","1692545","1713920"
"09","Ciudad de México","CDMX","8851080","2453770","4233783","4617297"
"10","Durango","Dgo.","1632934","407784","803890","829044"
"11","Guanajuato","Gto.","5486372","1276913","2639425","2846947"
"12","Guerrero","Gro.","3388768","810596","1645561","1743207"
"13","Hidalgo","Hgo.","2665018","669514","1285222","1379796"
"14","Jalisco","Jal.","7350682","1831205","3600641","3750041"
"15","México","Mex.","15175862","3749499","7396986","7778876"
"16","Michoacán de Ocampo","Mich.","4351037","1082772","2102109","2248928"
"17","Morelos","Mor.","1777227","469091","858588","918639"
"18","Nayarit","Nay.","1084979","291163","541007","543972"
"19","Nuevo León","NL","4653458","1210893","2320185","2333273"
"20","Oaxaca","Oax.","3801962","941814","1819008","1982954"
"21","Puebla","Pue.","5779829","1392053","2769855","3009974"
"22","Querétaro","Qro.","1827937","454392","887188","940749"
"23","Quintana Roo","Q. Roo","1325578","369326","673220","652358"
"24","San Luis Potosí","SLP","2585518","639265","1260366","1325152"
"25","Sinaloa","Sin.","2767761","713296","1376201","1391560"
"26","Sonora","Son.","2662480","712402","1339612","1322868"
"27","Tabasco","Tab.","2238603","567233","1100758","1137845"
"28","Tamaulipas","Tamps.","3268554","901387","1616201","1652353"
"29","Tlaxcala","Tlax.","1169936","274243","565775","604161"
"30","Veracruz de Ignacio de la Llave","Ver.","7643194","2014588","3695679","3947515"
"31","Yucatán","Yuc.","1955577","507248","963333","992244"
"32","Zacatecas","Zac.","1490668","377018","726897","763771"
