,Variable,Perspectiva_SE_14_años,Opinión_Situación_Económica,Factor_Expansión,Demográfico
0,No,1,1,2156075,Lengua_Indígena
1,No,1,2,1492771,Lengua_Indígena
2,No,1,3,1968335,Lengua_Indígena
3,No,1,4,1134988,Lengua_Indígena
4,No,1,5,1579922,Lengua_Indígena
5,No,1,6,396542,Lengua_Indígena
6,No,1,7,184915,Lengua_Indígena
7,No,1,8,127239,Lengua_Indígena
8,No,1,9,28882,Lengua_Indígena
9,No,1,10,55767,Lengua_Indígena
10,No,2,1,292312,Lengua_Indígena
11,No,2,2,644643,Lengua_Indígena
12,No,2,3,1032320,Lengua_Indígena
13,No,2,4,1801286,Lengua_Indígena
14,No,2,5,2137274,Lengua_Indígena
15,No,2,6,694190,Lengua_Indígena
16,No,2,7,315334,Lengua_Indígena
17,No,2,8,107630,Lengua_Indígena
18,No,2,9,22811,Lengua_Indígena
19,No,2,10,11273,Lengua_Indígena
20,No,3,1,194707,Lengua_Indígena
21,No,3,2,293864,Lengua_Indígena
22,No,3,3,767634,Lengua_Indígena
23,No,3,4,1183915,Lengua_Indígena
24,No,3,5,3613387,Lengua_Indígena
25,No,3,6,1209407,Lengua_Indígena
26,No,3,7,695816,Lengua_Indígena
27,No,3,8,220809,Lengua_Indígena
28,No,3,9,28154,Lengua_Indígena
29,No,3,10,13618,Lengua_Indígena
30,No,4,1,169268,Lengua_Indígena
31,No,4,2,160930,Lengua_Indígena
32,No,4,3,239415,Lengua_Indígena
33,No,4,4,931509,Lengua_Indígena
34,No,4,5,1973337,Lengua_Indígena
35,No,4,6,1722260,Lengua_Indígena
36,No,4,7,1124324,Lengua_Indígena
37,No,4,8,429899,Lengua_Indígena
38,No,4,9,17295,Lengua_Indígena
39,No,4,10,17401,Lengua_Indígena
40,No,5,1,292715,Lengua_Indígena
41,No,5,2,171182,Lengua_Indígena
42,No,5,3,446229,Lengua_Indígena
43,No,5,4,548228,Lengua_Indígena
44,No,5,5,2804435,Lengua_Indígena
45,No,5,6,1212170,Lengua_Indígena
46,No,5,7,1949768,Lengua_Indígena
47,No,5,8,782406,Lengua_Indígena
48,No,5,9,55112,Lengua_Indígena
49,No,5,10,45380,Lengua_Indígena
50,No,6,1,106701,Lengua_Indígena
51,No,6,2,89085,Lengua_Indígena
52,No,6,3,281291,Lengua_Indígena
53,No,6,4,590083,Lengua_Indígena
54,No,6,5,677820,Lengua_Indígena
55,No,6,6,1273776,Lengua_Indígena
56,No,6,7,1021876,Lengua_Indígena
57,No,6,8,928077,Lengua_Indígena
58,No,6,9,51972,Lengua_Indígena
59,No,6,10,48818,Lengua_Indígena
60,No,7,1,63029,Lengua_Indígena
61,No,7,2,63997,Lengua_Indígena
62,No,7,3,122110,Lengua_Indígena
63,No,7,4,402888,Lengua_Indígena
64,No,7,5,1107584,Lengua_Indígena
65,No,7,6,667699,Lengua_Indígena
66,No,7,7,1261694,Lengua_Indígena
67,No,7,8,708475,Lengua_Indígena
68,No,7,9,92985,Lengua_Indígena
69,No,7,10,32348,Lengua_Indígena
70,No,8,1,123694,Lengua_Indígena
71,No,8,2,109778,Lengua_Indígena
72,No,8,3,169113,Lengua_Indígena
73,No,8,4,331334,Lengua_Indígena
74,No,8,5,1170914,Lengua_Indígena
75,No,8,6,901923,Lengua_Indígena
76,No,8,7,979406,Lengua_Indígena
77,No,8,8,1037225,Lengua_Indígena
78,No,8,9,100162,Lengua_Indígena
79,No,8,10,74294,Lengua_Indígena
80,No,9,1,34479,Lengua_Indígena
81,No,9,2,48419,Lengua_Indígena
82,No,9,3,34089,Lengua_Indígena
83,No,9,4,114688,Lengua_Indígena
84,No,9,5,290758,Lengua_Indígena
85,No,9,6,278656,Lengua_Indígena
86,No,9,7,638796,Lengua_Indígena
87,No,9,8,448914,Lengua_Indígena
88,No,9,9,97591,Lengua_Indígena
89,No,9,10,7519,Lengua_Indígena
90,No,10,1,87433,Lengua_Indígena
91,No,10,2,35211,Lengua_Indígena
92,No,10,3,62494,Lengua_Indígena
93,No,10,4,88042,Lengua_Indígena
94,No,10,5,295976,Lengua_Indígena
95,No,10,6,171094,Lengua_Indígena
96,No,10,7,199762,Lengua_Indígena
97,No,10,8,265195,Lengua_Indígena
98,No,10,9,96205,Lengua_Indígena
99,No,10,10,125248,Lengua_Indígena
100,Sí,1,1,707384,Lengua_Indígena
101,Sí,1,2,530929,Lengua_Indígena
102,Sí,1,3,307051,Lengua_Indígena
103,Sí,1,4,209364,Lengua_Indígena
104,Sí,1,5,148182,Lengua_Indígena
105,Sí,1,6,18358,Lengua_Indígena
106,Sí,1,7,15994,Lengua_Indígena
107,Sí,1,8,4751,Lengua_Indígena
108,Sí,1,9,2654,Lengua_Indígena
109,Sí,1,10,14215,Lengua_Indígena
110,Sí,2,1,77490,Lengua_Indígena
111,Sí,2,2,120709,Lengua_Indígena
112,Sí,2,3,144070,Lengua_Indígena
113,Sí,2,4,175942,Lengua_Indígena
114,Sí,2,5,154567,Lengua_Indígena
115,Sí,2,6,65342,Lengua_Indígena
116,Sí,2,7,9873,Lengua_Indígena
117,Sí,2,8,6704,Lengua_Indígena
118,Sí,2,9,10956,Lengua_Indígena
119,Sí,3,1,26385,Lengua_Indígena
120,Sí,3,2,25581,Lengua_Indígena
121,Sí,3,3,92879,Lengua_Indígena
122,Sí,3,4,54908,Lengua_Indígena
123,Sí,3,5,202223,Lengua_Indígena
124,Sí,3,6,35912,Lengua_Indígena
125,Sí,3,7,21499,Lengua_Indígena
126,Sí,3,8,14595,Lengua_Indígena
127,Sí,3,9,2699,Lengua_Indígena
128,Sí,3,10,5029,Lengua_Indígena
129,Sí,4,1,15586,Lengua_Indígena
130,Sí,4,2,17483,Lengua_Indígena
131,Sí,4,3,16572,Lengua_Indígena
132,Sí,4,4,37523,Lengua_Indígena
133,Sí,4,5,62341,Lengua_Indígena
134,Sí,4,6,72403,Lengua_Indígena
135,Sí,4,7,42678,Lengua_Indígena
136,Sí,4,8,16550,Lengua_Indígena
137,Sí,4,9,1327,Lengua_Indígena
138,Sí,4,10,1383,Lengua_Indígena
139,Sí,5,1,21842,Lengua_Indígena
140,Sí,5,2,22843,Lengua_Indígena
141,Sí,5,3,28186,Lengua_Indígena
142,Sí,5,4,24479,Lengua_Indígena
143,Sí,5,5,73946,Lengua_Indígena
144,Sí,5,6,34168,Lengua_Indígena
145,Sí,5,7,57509,Lengua_Indígena
146,Sí,5,8,32310,Lengua_Indígena
147,Sí,5,9,4319,Lengua_Indígena
148,Sí,5,10,4537,Lengua_Indígena
149,Sí,6,1,2219,Lengua_Indígena
150,Sí,6,2,13697,Lengua_Indígena
151,Sí,6,3,5996,Lengua_Indígena
152,Sí,6,4,14670,Lengua_Indígena
153,Sí,6,5,45138,Lengua_Indígena
154,Sí,6,6,18526,Lengua_Indígena
155,Sí,6,7,18150,Lengua_Indígena
156,Sí,6,8,41675,Lengua_Indígena
157,Sí,6,9,917,Lengua_Indígena
158,Sí,7,2,15018,Lengua_Indígena
159,Sí,7,3,12833,Lengua_Indígena
160,Sí,7,4,22822,Lengua_Indígena
161,Sí,7,5,14963,Lengua_Indígena
162,Sí,7,6,12379,Lengua_Indígena
163,Sí,7,7,41826,Lengua_Indígena
164,Sí,7,8,23870,Lengua_Indígena
165,Sí,7,9,2965,Lengua_Indígena
166,Sí,7,10,4518,Lengua_Indígena
167,Sí,8,1,1615,Lengua_Indígena
168,Sí,8,2,4639,Lengua_Indígena
169,Sí,8,3,2084,Lengua_Indígena
170,Sí,8,4,5939,Lengua_Indígena
171,Sí,8,5,32478,Lengua_Indígena
172,Sí,8,6,11829,Lengua_Indígena
173,Sí,8,7,5581,Lengua_Indígena
174,Sí,8,8,13305,Lengua_Indígena
175,Sí,8,9,3624,Lengua_Indígena
176,Sí,9,1,1345,Lengua_Indígena
177,Sí,9,2,6203,Lengua_Indígena
178,Sí,9,3,5701,Lengua_Indígena
179,Sí,9,4,1670,Lengua_Indígena
180,Sí,9,5,4377,Lengua_Indígena
181,Sí,9,6,14605,Lengua_Indígena
182,Sí,9,7,8100,Lengua_Indígena
183,Sí,9,8,4221,Lengua_Indígena
184,Sí,9,10,3353,Lengua_Indígena
185,Sí,10,1,5920,Lengua_Indígena
186,Sí,10,3,888,Lengua_Indígena
187,Sí,10,4,5581,Lengua_Indígena
188,Sí,10,5,12565,Lengua_Indígena
189,Sí,10,6,6809,Lengua_Indígena
190,Sí,10,7,10283,Lengua_Indígena
191,Sí,10,8,10640,Lengua_Indígena
192,Sí,10,10,27899,Lengua_Indígena
